"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","H9UD1","H9UD2","H9UD3","H912h1","H912h2","H912h3","gene_name","biotype"
"ENSG00000004399",4653.86100158249,-1.66073559972497,0.0417824718457105,-39.7471840789492,0,0,7.25785287031816,7.13378380756001,7.4054301295185,22.8421036819643,23.0817324374712,23.4102658651828,"PLXND1","protein_coding"
"ENSG00000004478",6960.79378949446,1.49124817183742,0.0338067112417099,44.1110098280591,0,0,54.9057042974128,53.4675787690277,54.4501974426774,19.1255089645953,18.7377796990671,20.2347863789482,"FKBP4","protein_coding"
"ENSG00000011028",16368.4836859702,-1.76415409989247,0.035689262599364,-49.4309484534967,0,0,15.233192078186,14.9615338467002,14.6206047187902,49.0973937041552,51.3469948550599,52.6072337740852,"MRC2","protein_coding"
"ENSG00000049089",5776.51796866065,-2.2802454848751,0.0447648159281162,-50.9383415881067,0,0,6.68143475120751,7.15789079551507,6.82649899042418,34.0167819740516,32.4786126964281,34.6251271191241,"COL9A2","protein_coding"
"ENSG00000050344",1622.47751517747,-1.98635270797137,0.0491366446186041,-40.4250783379559,0,0,5.01784998140277,5.3433350971791,5.28052560306733,21.2808567572933,21.3378209906226,19.8021661416394,"NFE2L3","protein_coding"
"ENSG00000064042",1020.35903793254,2.33479027578221,0.0503539423430268,46.3675765420091,0,0,7.71083521707188,7.3407168794471,7.65073319237395,1.47656803013785,1.57785911193171,1.45601384765745,"LIMCH1","protein_coding"
"ENSG00000065911",3474.22057535001,1.54295676210553,0.0392991895015956,39.2617960236275,0,0,31.1192747775561,30.946409888865,33.0113483507428,10.9970278267484,10.7884941629953,10.9478148279328,"MTHFD2","protein_coding"
"ENSG00000086475",9430.46679289959,1.1472576246166,0.0302675855577839,37.903836843093,0,0,132.370531514932,133.844292546806,134.319673921379,60.4386404563871,60.1847850567001,60.8806203143165,"SEPHS1","protein_coding"
"ENSG00000087245",7162.53096343864,-1.47977883955886,0.0387193803264901,-38.2180403477804,0,0,20.9197032927166,20.8010225240982,21.2522556338871,57.2485959757909,58.6424482629257,60.7259865971467,"MMP2","protein_coding"
"ENSG00000088305",18710.1329262742,1.29850589302896,0.0222596393161523,58.3345432774698,0,0,236.907892927922,238.023517063141,240.665431948138,97.1755433606198,98.8993207604466,95.9957231650429,"DNMT3B","protein_coding"
"ENSG00000091592",2120.26772992772,-2.3081360166056,0.0553560267084871,-41.6962010073551,0,0,1.70181668705452,1.67821713425653,1.6336360397469,7.99561793962848,7.97812767809615,9.04989507380637,"NLRP1","protein_coding"
"ENSG00000095596",40496.996748217,2.55371396792514,0.0576941135497088,44.262989944804,0,0,18.3997244770807,17.2200344045153,18.3138628728082,3.23578052149958,2.73961158489281,3.14154882043782,"CYP26A1","protein_coding"
"ENSG00000095739",3109.5716321698,-2.66138858034218,0.0412578012917082,-64.5063114615624,0,0,8.91068978887863,8.78769897890023,9.03270436102897,55.4204125644406,57.5523647178419,57.387821879718,"BAMBI","protein_coding"
"ENSG00000100095",1633.46797247965,-3.97103785074327,0.0726299922646431,-54.6749039470351,0,0,0.539697327924702,0.52469823779594,0.595175003149962,8.86165948751736,8.9273586628026,8.85737964550633,"SEZ6L","protein_coding"
"ENSG00000100867",8196.56185706254,-1.83696323124578,0.0349109684683133,-52.6185125145721,0,0,7.1222493106646,7.0219514983795,6.66741205596244,24.3785246799741,24.2697180334231,26.0725801916862,"DHRS2","protein_coding"
"ENSG00000101665",2469.25867513562,-2.00305733921484,0.0464132909644413,-43.1569771846052,0,0,4.87234010652305,5.17357301945611,5.14451514063777,20.4056115615612,20.4885481776172,20.4675246396145,"SMAD7","protein_coding"
"ENSG00000102271",4407.48246946797,-1.561932440906,0.0369456047133342,-42.2765428533444,0,0,12.8757434719252,12.8862148308852,13.4467596561777,40.2291970181813,38.6818275806446,37.5295457537381,"KLHL4","protein_coding"
"ENSG00000104081",2469.03085647891,-1.84633496100349,0.0431862263087953,-42.7528663375588,0,0,3.26109690298913,3.615403972006,3.44670916883817,12.3707174199282,12.4270833558898,12.5804858267395,"BMF","protein_coding"
"ENSG00000104332",10172.1173293621,1.14356041103918,0.0290638760595301,39.3464522315223,0,0,95.8530283041505,93.7466289402236,97.7910586207686,43.8980799456721,43.0116269562188,43.6710200152551,"SFRP1","protein_coding"
"ENSG00000104413",725.776537839221,2.62942808259801,0.0583793625035648,45.0403699156093,0,0,16.1937946291022,15.8395287983373,16.6732032750787,2.65863124106104,2.67329893524823,2.55311151987925,"ESRP1","protein_coding"
"ENSG00000105329",12026.4999893074,-2.92623915796299,0.047598970706976,-61.4769419275305,0,0,13.3857929405423,13.1240421776955,13.5672664705379,100.422910620583,101.427862628722,105.435148350712,"TGFB1","protein_coding"
"ENSG00000105991",678.772097448361,-3.33118774125323,0.0746027383412237,-44.6523521163095,0,0,2.06233128198223,2.06055625097084,2.15956140777027,20.7773144620311,21.1953932910245,21.8329926572135,"HOXA1","protein_coding"
"ENSG00000106038",1678.1047382716,-3.28555057616938,0.0792136660746957,-41.4770675185166,0,0,1.70000823825328,2.12453334534911,2.01838580476561,19.5411896313744,19.6052243797044,19.1116687390798,"EVX1","protein_coding"
"ENSG00000107984",11593.5695046004,-3.14524985475241,0.0601209516715114,-52.3153703876381,0,0,2.95285882453628,3.65808303477072,3.44994535951416,31.6163748093186,30.5768747208615,28.5121419115133,"DKK1","protein_coding"
"ENSG00000108375",1242.34768262101,-2.10267365529663,0.0466765363680296,-45.0477652994155,0,0,2.96106381636051,2.90349659952033,2.74412029476597,12.1984528744335,12.3253115466316,12.6195579189101,"RNF43","protein_coding"
"ENSG00000108379",4969.49943602759,-2.53395566282985,0.0448806466373866,-56.4598741926104,0,0,3.85577578018204,3.75238872504447,3.70433644235221,22.5137647354653,22.5898906334686,20.9544287057707,"WNT3","protein_coding"
"ENSG00000110092",9582.80182528466,-1.06626908671619,0.0271098233038294,-39.331465748269,0,0,61.0733503097617,62.1907977399786,62.0421997507024,129.368651565943,129.160365223214,131.321576018291,"CCND1","protein_coding"
"ENSG00000112378",4370.71625581948,-1.14883718802009,0.0292845999618635,-39.2300796157773,0,0,18.1567566940794,18.551701231383,18.6093987395399,40.7504552873183,41.6985061191195,40.8245804766311,"PERP","protein_coding"
"ENSG00000113407",7783.90171967691,1.20975578323539,0.0298561804564771,40.5194423646694,0,0,63.3488759818057,63.42585159128,63.7032273446458,27.1356201451309,27.7583310217471,27.7574420259626,"TARS","protein_coding"
"ENSG00000113657",17730.063757897,0.956551995872289,0.0246338229673505,38.8308382803635,0,0,171.900892706444,170.820932398318,172.585307289197,87.9772463882536,87.3338935378344,91.2689161654435,"DPYSL3","protein_coding"
"ENSG00000113739",348.074868611127,3.47268251324694,0.0900621957043879,38.5587147424804,0,0,7.60447141399143,7.67162804503493,7.33708169019181,0.795784180115952,0.638358508802175,0.599117316802027,"STC2","protein_coding"
"ENSG00000114270",5310.48790045027,-1.75436327985826,0.0426811889347408,-41.1038990160436,0,0,11.6002298666884,11.4908758799818,10.6364034752166,38.7642881158248,38.4148320486354,37.2492059363331,"COL7A1","protein_coding"
"ENSG00000114315",1789.89941516963,-1.94153775252464,0.0466788244234436,-41.5935443213419,0,0,8.57809564323375,8.80846976834684,8.20075744994652,31.617003752339,32.9113593456194,34.3088646123773,"HES1","protein_coding"
"ENSG00000115738",3877.66189240099,-2.00796125601543,0.0361123007224349,-55.6032491933689,0,0,30.1555440931874,30.1397103517561,31.8692735265473,124.812553604677,122.255149719533,125.837836257072,"ID2","protein_coding"
"ENSG00000115816",4262.80653188187,1.35636256531179,0.0340002810740866,39.8926868385669,0,0,71.6199674897735,70.2396961138903,71.7505393121085,28.0640287518102,28.1218474380556,27.5377387356058,"CEBPZ","protein_coding"
"ENSG00000116729",15508.7451948831,-1.84010141590316,0.0284564027432294,-64.6638801294366,0,0,30.5647140152556,31.4149876881324,31.4534412078162,111.767810341093,111.234932760312,113.293581221171,"WLS","protein_coding"
"ENSG00000117318",11532.6603252112,-2.32261729512864,0.0428903417473214,-54.1524548536313,0,0,72.2616669585693,74.0891626845442,71.5705137309372,361.287375816503,353.352808622687,382.760694286938,"ID3","protein_coding"
"ENSG00000119888",2777.99042286908,1.53169115071099,0.0383568407684258,39.9326722437431,0,0,75.7185879531185,73.4660179930471,76.6201070997898,24.9345625526269,25.7136310844068,27.676094670408,"EPCAM","protein_coding"
"ENSG00000120149",1061.28681902268,-3.18773012703414,0.0824358374849217,-38.6692271746157,0,0,1.43480320857423,1.40241054242526,1.63286055334194,13.4338278927871,14.36707026891,13.9785494336344,"MSX2","protein_coding"
"ENSG00000120694",8220.42577071594,1.20957428510719,0.0279664566346049,43.2508952031662,0,0,55.1682064113239,55.1736199300934,57.2275086723048,24.561932559158,24.2181727653854,23.9627134366405,"HSPH1","protein_coding"
"ENSG00000124225",2443.00233343855,-1.98925402581683,0.0499562014475334,-39.8199616499274,0,0,2.29181169343059,2.3584494290702,2.22877037379014,9.29200228028165,8.97347257828401,9.25155271268009,"PMEPA1","protein_coding"
"ENSG00000124486",26394.5457362401,1.59688142623622,0.0299689472627048,53.2845352303542,0,0,108.089456978121,116.366271057665,113.688671532506,39.123359971122,36.5378346093087,36.5219802293421,"USP9X","protein_coding"
"ENSG00000125285",438.013070619562,2.83091135560513,0.0710897870838666,39.8216322165295,0,0,21.4464025255475,20.8137992729374,21.8298697417118,2.82428076950916,3.15084917700955,3.04983462150093,"SOX21","protein_coding"
"ENSG00000125968",5918.08277151008,-2.65655516917464,0.0384968192473345,-69.0071341246868,0,0,41.1265496645464,42.9314477995305,40.8766407141196,251.839427897767,262.90815765417,277.83375025024,"ID1","protein_coding"
"ENSG00000130066",3725.39372778146,-1.80888510498459,0.029856998758327,-60.5849609877516,0,0,23.5384760851491,23.7451612233326,23.6605741492163,83.0462904424496,82.1326274544181,84.6473441917216,"SAT1","protein_coding"
"ENSG00000132205",2421.90407231337,-2.96689459226047,0.0495714036666705,-59.8509296248811,0,0,2.9278183840351,3.23672058693277,3.14246623403951,24.4623982768652,24.8871112998007,24.0470979679211,"EMILIN2","protein_coding"
"ENSG00000132561",1127.42520682442,-1.91985012562332,0.0502390323534642,-38.2143133672624,0,0,2.48623446285091,2.44894230015315,2.5054874485206,9.56915676077532,9.21172826527617,9.56105023629166,"MATN2","protein_coding"
"ENSG00000134569",2511.59390835937,-1.722338852846,0.0416366601340284,-41.3659224179316,0,0,4.23441609405113,4.09913852939867,4.22985859949145,14.1860513716714,14.0655914083821,13.4545755931717,"LRP4","protein_coding"
"ENSG00000135069",8289.24183086314,1.2577254385682,0.0308284072923717,40.7976132740213,0,0,207.289869359232,210.034346274846,216.438145408017,90.7657307963484,86.8253196229818,88.4435910919238,"PSAT1","protein_coding"
"ENSG00000137331",9821.63080652176,-2.25602368650049,0.046046787040365,-48.994160754861,0,0,9.62615560860273,9.08138673779104,9.83404383454824,46.9115687074004,45.8388829227117,45.105421818552,"IER3","protein_coding"
"ENSG00000137473",328.984895021107,-4.06437238264052,0.108227419195002,-37.5539989114718,0,0,0.639129372736168,0.585104466375204,0.605579387897048,9.99770722354088,10.3262563913434,10.8551177308806,"TTC29","protein_coding"
"ENSG00000137872",3078.22256019896,3.01620248631836,0.0796770986899138,37.8553252554637,0,0,2.89173188718723,2.94637788324463,2.8133050480995,0.392454644673591,0.302978851288769,0.355846274854798,"SEMA6D","protein_coding"
"ENSG00000138685",863.921656932627,2.23687246497393,0.0576571620616149,38.7960902859477,0,0,11.534025820179,11.3428091124858,11.8743071219234,2.65841797046574,2.40847690050315,2.31946273437869,"FGF2","protein_coding"
"ENSG00000138795",745.705606247129,-2.95622277433143,0.068840123339307,-42.9433102517911,0,0,1.0561788731476,1.09097262560838,1.17415204694075,8.83763152502286,8.63128969784123,8.6394345263872,"LEF1","protein_coding"
"ENSG00000139289",2081.98140180079,1.45854566527949,0.0387941644911305,37.5970377094461,0,0,11.2709819336802,11.0621643898232,11.1035178597262,4.04517017191189,4.10875719360813,4.04999549634933,"PHLDA1","protein_coding"
"ENSG00000140564",5114.81163080663,-1.73101880619878,0.0458143729543571,-37.7833132830022,0,0,12.415655819919,12.9184095902043,12.7707673592614,41.9857708302494,42.6033036744518,42.7214504838534,"FURIN","protein_coding"
"ENSG00000140807",8007.62981979493,-3.02246354071438,0.0389512878216228,-77.5959848761801,0,0,3.37798692499516,3.26365146018076,3.37782728743615,28.0578011714674,27.5374413596139,26.4493651476731,"NKD1","protein_coding"
"ENSG00000143768",10747.4493609983,-3.34020752829142,0.0839047434926334,-39.8095195724504,0,0,3.10031184687805,2.57923045431261,2.86076160747585,28.6505016185122,28.9311026074276,31.0092809436747,"LEFTY2","protein_coding"
"ENSG00000143878",5046.97887010266,-1.9183567063219,0.0461427028529079,-41.5744329593602,0,0,22.6562201421366,22.3059852697446,22.3208552515843,83.3137040013744,83.6436218288101,89.0412479494949,"RHOB","protein_coding"
"ENSG00000144730",13425.4422131642,-1.45880608031029,0.0364413241363747,-40.0316430558611,0,0,9.32870852673127,9.2197564059277,9.52220803090826,27.2433444419854,25.9865287147425,24.3795605373291,"IL17RD","protein_coding"
"ENSG00000145147",3925.68762588646,-2.22836146874292,0.0402958674382659,-55.2999999852795,0,0,4.24615654272347,4.59918856530293,4.44657162677645,21.2830883907619,21.3231973349974,20.0790095396577,"SLIT2","protein_coding"
"ENSG00000146938",1673.80715587853,1.85127230532032,0.0464081225241087,39.8911269112124,0,0,16.6734002457396,16.6222983279341,17.2046815645406,4.6807571786296,4.84182544689571,4.5110875786899,"NLGN4X","protein_coding"
"ENSG00000147596",960.659722222176,3.34216122594429,0.0594648121612792,56.2040155256818,0,0,49.0924610911547,46.9721891072096,48.9553636305108,5.23431776757689,4.52066438857035,4.55800557408761,"PRDM14","protein_coding"
"ENSG00000147601",4577.09937730507,1.84708121357337,0.0331289318673179,55.7543243763782,0,0,35.1820925570159,35.3250561874007,36.0342797624256,9.7728877538966,10.0071880083355,9.92976559707635,"TERF1","protein_coding"
"ENSG00000152061",1443.58178291394,1.86586608399438,0.0408374062650407,45.690122234616,0,0,7.48435974825654,7.30368823575308,7.45749991747479,2.10443491930227,2.02439735535752,1.99399672487175,"RABGAP1L","protein_coding"
"ENSG00000152284",4944.0814674968,2.08122201133749,0.0459211119554873,45.3216815253708,0,0,40.0214878388715,38.8509191168353,38.4290889790831,8.93656459695515,9.00438868821099,9.81203202046682,"TCF7L1","protein_coding"
"ENSG00000154822",708.792598723074,2.15610123374872,0.0555531984470462,38.8114688986617,0,0,13.2767017758453,12.7898234209024,13.5192203546449,3.10405384193821,2.96930264556861,2.83026210727628,"PLCL2","protein_coding"
"ENSG00000154856",2062.32754498684,-2.35579544175386,0.0499310473986409,-47.1809738527132,0,0,2.83716228500362,3.02714422403216,2.88226264821856,15.1456438669075,15.0338279344183,14.9350330302678,"APCDD1","protein_coding"
"ENSG00000158246",1241.92221598554,2.55656328462701,0.0506638526428448,50.4612884979262,0,0,61.5131792166608,60.1528126554786,60.7311822614077,9.84831912610284,10.0852208564549,11.1084927147709,"FAM46B","protein_coding"
"ENSG00000159399",1727.39392028333,1.56522987020441,0.0404895200694801,38.6576543144614,0,0,11.341173651699,11.6390666527751,11.454525959221,3.88509722251601,3.7814731805475,3.99856827781151,"HK2","protein_coding"
"ENSG00000163132",1940.72649661356,-3.70558218852304,0.0649466890250798,-57.0557520968019,0,0,3.14355179028046,3.10804082806246,3.02089228864902,39.6361515135113,40.7782856451551,42.2955956553954,"MSX1","protein_coding"
